baseline,window_day,qbot_cm_per_day,u_A,u_FD,J_S,J_R,abs_JR_over_uA,E_AFD,head_tangent
B1,0.0001,0.000001,3.402936037279093e-05,3.402945321129254e-05,3.402833570476105e-05,-3.402833570476105e-05,0.9999698887073205,2.728180821270941e-06,available
B2,0.001,0.000001,0.0002686106425118591,0.0002686070215829681,0.0002686095790238596,-0.0002686095790238594,0.9999960407823393,1.3480213803791703e-05,available
B3,0.001,0.0001,0.0002665743709457589,0.00026657437310767025,0.00028821767195097463,-0.00028821767195098304,1.081190479521484,8.109974353526223e-09,available_with_nonmonotonic_validity
B4,0.01,0.000001,0.00119027208545508,0.0011902765077107917,0.0011902723251466796,-0.001190272325146675,1.0000002013754654,3.715317981282415e-06,available
B5,0.01,0.0001,0.0011201581181034964,0.0011201580234874043,,,,8.446672890081806e-08,not_symmetrically_identifiable
