SY,DTC,NINT,SCHEME,FINAL_H_CM,CUM_QSWAP_CM,MAX_HEAD_RES_CM,MAX_SWAP_MASS_CM,INTERFACE_MASS_CM,TRIALS,NONLINEAR,LINEAR,JAC,RETRIES,R0_CM,R1_CM,R2_CM,R3_CM,R4_CM
0.2,0.25,64,PC1,-99.56045582359266,0.08790883528146623,0.001299732964383793,5.752343046339092e-14,0.0,8,1130,1130,1130,0,0.1111877256587945,0.001299732964383793,0.0,0.0,0.0
0.05,0.0078125,1,PC4,-98.29889964080665,0.08505501795967066,4.404370201882557e-10,3.591571484662381e-14,0.0,640,1918,1918,1918,0,0.01389668934383792,0.0001820572358326444,2.433691548731076e-06,3.273940762937855e-08,4.404370201882557e-10
0.05,0.5,32,PRED,-98.2628589478729,0.08685705260635489,0.8893881180052858,9.936496070395151e-15,0.0,2,117,117,117,0,0.8893881180052858,0.0,0.0,0.0,0.0
0.05,0.25,16,PRED,-98.28183224259587,0.085908387870207,0.4446940590026429,1.484923295436147e-14,0.0,4,160,160,160,0,0.4446940590026429,0.0,0.0,0.0,0.0
0.05,0.125,8,PRED,-98.29106501464587,0.08544674926770533,0.2223470295013215,1.205979760499076e-14,0.0,8,176,176,176,0,0.2223470295013215,0.0,0.0,0.0,0.0
0.05,0.0625,4,PRED,-98.29518067370446,0.08524096631477647,0.1111735147506607,1.082467449009528e-14,0.0,16,184,184,184,0,0.1111735147506607,0.0,0.0,0.0,0.0
0.05,0.03125,2,PRED,-98.29695198286157,0.0851524008569212,0.05558675737532326,1.033895191682177e-14,0.0,32,188,188,188,0,0.05558675737532326,0.0,0.0,0.0,0.0
0.05,0.5,32,PC1,-98.30289224838174,0.08485538758091347,0.04198832000176367,1.500188862024743e-14,0.0,4,278,278,278,0,0.891343137498211,0.04198832000176367,0.0,0.0,0.0
0.05,0.25,16,PC1,-98.3019143446752,0.0849042827662408,0.02099085442632997,1.476596622751458e-14,0.0,8,334,334,334,0,0.4456452207812163,0.02099085442632997,0.0,0.0,0.0
0.05,0.125,8,PC1,-98.30109732592315,0.08494513370384259,0.01012785896723756,1.508515534709431e-14,0.0,16,329,329,329,0,0.2224468964397062,0.01012785896723756,0.0,0.0,0.0
0.05,0.0625,4,PC1,-98.3001660179267,0.08499169910366462,0.004335515000661871,1.290634266126744e-14,0.0,32,376,376,376,0,0.1111735147506607,0.004335515000661871,0.0,0.0,0.0
0.05,0.03125,2,PC1,-98.29941993331055,0.08502900333447215,0.001611696628373238,1.491862189340054e-14,0.0,64,380,380,380,0,0.05558675737532326,0.001611696628373238,0.0,0.0,0.0
0.05,0.25,16,PC4,-98.30096711464262,0.0849516442678689,2.198992973490022e-06,1.457167719820518e-14,0.0,20,886,886,886,0,0.4446940590026429,0.02094460362096129,0.0009881223095646874,4.661401385419595e-05,2.198992973490022e-06
0.05,0.25,1,PC1,-98.30042298385256,0.08497885080737219,0.019499849470904,1.609823385706477e-15,0.0,8,22,22,22,0,0.4446940590026429,0.019499849470904,0.0,0.0,0.0
0.05,0.25,2,PC1,-98.3013643773215,0.08493178113392372,0.02041052119032827,1.290634266126744e-15,0.0,8,44,44,44,0,0.4450615403549136,0.02041052119032827,0.0,0.0,0.0
0.05,0.25,4,PC1,-98.30174640336946,0.08491267983152737,0.02080932458636653,3.178013407989511e-15,0.0,8,88,88,88,0,0.4454618787489011,0.02080932458636653,0.0,0.0,0.0
0.05,0.25,8,PC1,-98.30187407786634,0.08490629610668275,0.02094695849419281,7.063793994177558e-15,0.0,8,170,170,170,0,0.4456006999535305,0.02094695849419281,0.0,0.0,0.0
0.05,0.25,32,PC1,-98.30192796648574,0.08490360167571319,0.02100576281667088,3.270994586301867e-14,0.0,8,649,649,649,0,0.4456604182764607,0.02100576281667088,0.0,0.0,0.0
0.05,0.25,64,PC1,-98.30193317767989,0.08490334111600521,0.02101147531963932,5.803690861228006e-14,0.0,8,1245,1245,1245,0,0.4456662631614137,0.02101147531963932,0.0,0.0,0.0
